X,word,model_type,back,hurdle_place,waic,waic_scaled,Is Hur Better
305,give,gen,FALSE,NA,1435.48330955391,8.8610080836661,NA
304,alright,gen,FALSE,NA,494.365812286812,2.08593169741271,NA
303,remember,gen,FALSE,NA,1340.40375786014,7.83861846701838,NA
302,man,gen,TRUE,NA,1325.28614196738,7.48749232749932,NA
301,his,hurdle,TRUE,-2,5189.68552356302,7.98413157471233,Yes
300,his,gen,TRUE,NA,5348.10359249368,8.22785168075951,
299,great,hurdle,TRUE,-1,1431.72668202473,7.08775585160758,Yes
298,great,gen,TRUE,NA,1430.31407780733,7.08076276142243,
297,your,hurdle,TRUE,-2,5629.41318921812,8.09987509240017,Yes
296,your,gen,TRUE,NA,5800.61693371601,8.34621141541872,
295,you,hurdle,FALSE,0,69471.0206862109,9.85264794868967,No
294,you,gen,FALSE,NA,55482.8247459827,7.86878807913526,
293,yes,gen,TRUE,NA,621.390625341735,2.81172228661418,
292,years,gen,TRUE,NA,1764.81622148804,7.87864384592875,
291,year,hurdle,TRUE,-1,1633.57656404925,9.44263909855056,No
290,year,gen,TRUE,NA,1373.64358672164,7.94013633943144,
289,yeah,gen,FALSE,NA,4892.59833451543,1.92017203081453,
288,would,hurdle,FALSE,1,7023.94897955192,8.06423533817671,Yes
287,would,gen,FALSE,NA,7106.5277845082,8.15904452871205,
286,work,hurdle,TRUE,-1,1754.78295950962,8.77391479754812,No
285,work,gen,TRUE,NA,1627.62988006091,8.13814940030455,
284,with,hurdle,TRUE,-2,10095.4768230471,8.52658515460062,Yes
283,with,gen,TRUE,NA,10017.587539884,8.46080028706418,
282,will,gen,FALSE,NA,2412.88209577184,8.26329484853371,
281,why,gen,FALSE,NA,2648.16541864294,8.12320680565318,
280,whole,hurdle,TRUE,-2,1260.92992765314,8.18785667307233,Yes
279,whole,gen,TRUE,NA,1288.71286652285,8.36826536703151,
278,who,hurdle,FALSE,0,3547.15803141519,8.6516049546712,Yes
277,who,gen,FALSE,NA,3350.3641412376,8.17161985667707,
276,which,gen,FALSE,NA,1735.71789603161,6.59968781761067,
275,where,hurdle,FALSE,0,3354.50050598469,8.18170855118217,No
274,where,gen,FALSE,NA,3238.23719185043,7.89813949231813,
273,when,hurdle,FALSE,0,7556.90964040202,9.89124298481939,Yes
272,when,gen,FALSE,NA,6083.1885550456,7.96228868461467,
271,what,gen,FALSE,NA,15381.1417857549,7.88776501833585,
270,were,gen,FALSE,NA,5539.63224780685,8.38068418730235,
269,went,gen,FALSE,NA,2480.59831427829,7.92523423092106,
268,well,hurdle,FALSE,1,8882.38612106082,5.87848188025203,No
267,well,gen,FALSE,NA,8842.46904742557,5.85206422728363,
266,we,hurdle,FALSE,1,16815.5399471985,7.85772894728903,No
265,we,gen,FALSE,NA,16779.975155132,7.84110988557572,
264,way,gen,TRUE,NA,2883.42633342687,8.38205329484556,
263,was,hurdle,FALSE,1,24125.4636227221,7.99121020958004,Yes
262,was,gen,FALSE,NA,24247.9700050535,8.0317886734195,
261,wanted,gen,FALSE,NA,1337.58141130265,8.85815504173944,
260,want,gen,FALSE,NA,2791.35114377823,8.53624202990284,
259,wan,hurdle,FALSE,1,2145.20344676954,7.94519795099831,Yes
258,wan,gen,FALSE,NA,2227.20267013698,8.2488987782851,
257,very,hurdle,FALSE,-2,2621.64776086784,7.30264000241739,No
256,very,gen,FALSE,NA,2859.70225926552,7.96574445477861,
255,us,hurdle,TRUE,-1,2455.44348159573,8.5854667188662,No
254,us,gen,TRUE,NA,2398.35564957568,8.38585891460028,
253,up,hurdle,TRUE,-1,10615.1165188046,12.187274992887,No
252,up,gen,TRUE,NA,7424.54878095002,8.52416622382322,
251,um,gen,TRUE,NA,2449.57606822362,2.78360916843594,
250,uh,hurdle,TRUE,-2,11170.7813140109,5.90734072660547,Yes
249,uh,gen,TRUE,NA,11181.526910261,5.91302322065625,
248,two,gen,TRUE,NA,3958.20332861983,8.3506399337971,
247,too,gen,TRUE,NA,2726.55979558422,7.68045012840624,
246,told,gen,FALSE,NA,1371.91371544453,8.07008067908544,
245,time,hurdle,TRUE,-2,4266.15688144457,8.36501349302856,No
244,time,gen,TRUE,NA,4319.96723105528,8.47052398246134,
243,through,gen,TRUE,NA,1684.51576806432,8.42257884032158,
242,three,hurdle,TRUE,-2,2166.30225502231,8.30000863993223,No
241,three,gen,TRUE,NA,2114.20840652708,8.10041535067848,
240,thought,hurdle,FALSE,1,2246.130037,8.07960445044604,Yes
239,thought,gen,FALSE,NA,2268.79286335448,8.16112540774994,
238,though,gen,TRUE,NA,1016.00022201365,6.95890563023048,
237,those,hurdle,TRUE,-2,2718.72238946154,8.52264071931518,Yes
236,those,gen,TRUE,NA,2687.02876400635,8.4232876614619,
235,this,hurdle,TRUE,-2,17299.4470619917,8.48012110881947,Yes
234,this,gen,TRUE,NA,17014.7109556319,8.34054458609408,
233,think,hurdle,FALSE,1,6946.49794567458,8.17235052432304,Yes
232,think,gen,FALSE,NA,7038.73533368694,8.28086509845523,
231,things,hurdle,TRUE,-1,2555.8186046129,10.2232744184516,No
230,things,gen,TRUE,NA,2135.91791396731,8.54367165586925,
229,thing,hurdle,TRUE,-1,3116.34686193675,8.90384817696216,No
228,thing,gen,TRUE,NA,2915.91394923955,8.33118271211301,
227,they,hurdle,FALSE,1,21698.2601709932,7.71630873790655,Yes
226,they,gen,FALSE,NA,21611.2372952996,7.68536176930995,
225,there,hurdle,TRUE,0,13359.3847688183,8.27719006742153,No
224,there,gen,TRUE,NA,13622.89097,8.44045289039032,
223,then,hurdle,FALSE,1,7226.32433894375,7.05007252579878,Yes
222,then,gen,FALSE,NA,7797.18155443838,7.60700639457403,
221,them,hurdle,TRUE,-1,3170.51536301712,8.38760678046858,No
220,them,gen,TRUE,NA,3037.29237863944,8.03516502285566,
219,their,hurdle,TRUE,-2,2300.49372397705,8.15777916303917,Yes
218,their,gen,TRUE,NA,2350.68264664957,8.33575406613323,
217,the,hurdle,TRUE,-2,71037.5278710138,8.54021734443541,Yes
216,the,gen,TRUE,NA,71341.1188669491,8.57671542040745,
215,that,hurdle,FALSE,0,54493.5365200138,9.14781543058819,No
214,that,gen,FALSE,NA,49722.6440874223,8.34692699134166,
213,than,hurdle,TRUE,-2,1754.33221268199,8.64203060434476,No
212,than,gen,TRUE,NA,1738.41124262293,8.56360218040854,
211,ten,hurdle,TRUE,-2,1230.47086215083,7.99007053344697,Yes
210,ten,gen,TRUE,NA,1236.65520665693,8.0302286146554,
209,tell,hurdle,FALSE,-2,2048.06827923092,8.39372245586441,No
208,tell,gen,FALSE,NA,2110.32308301962,8.64886509434271,
207,sure,gen,FALSE,NA,1498.82163967385,7.38335783090566,
206,stuff,hurdle,TRUE,-2,1859.77538820052,7.59091995183886,No
205,stuff,gen,TRUE,NA,1869.61717372001,7.63109050497962,
204,still,gen,FALSE,NA,1542.64414661394,8.03460493028096,
203,something,hurdle,TRUE,-2,3666.08280582297,8.31311293837408,No
202,something,gen,TRUE,NA,3629.97986339122,8.23124685576241,
201,some,gen,TRUE,NA,4275.36335727414,8.44933469817023,
200,so,gen,FALSE,NA,15083.6502690338,7.00913116590788,
199,should,hurdle,FALSE,1,1616.13979037279,8.04049646951635,Yes
198,should,gen,FALSE,NA,1676.1750907279,8.3391795558602,
197,she,hurdle,FALSE,1,12131.3839518231,7.49776511237523,No
196,she,gen,FALSE,NA,12061.8082363566,7.45476405213632,
195,see,hurdle,FALSE,0,7579.87711832334,10.1335255592558,No
194,see,gen,FALSE,NA,6040.07808099397,8.074970697,
193,say,gen,TRUE,NA,3215.94951349704,8.14164433796718,
192,said,hurdle,FALSE,1,5975.67701416173,7.69070400793016,Yes
191,said,gen,FALSE,NA,5796.69339343356,7.46035185770086,
190,right,gen,TRUE,NA,5892.23978658321,5.4608339078621,
189,really,gen,TRUE,NA,5797.1619505941,7.84460345141285,
188,real,hurdle,TRUE,-2,1455.84559654499,7.17165318495071,Yes
187,real,gen,TRUE,NA,1523.74366571079,7.50612643207285,
186,put,gen,FALSE,NA,4178.54311981419,8.65122799133372,
185,probably,gen,FALSE,NA,2026.56368113771,8.17162774652302,
184,pretty,hurdle,FALSE,-2,1392.58170577879,7.69382157888832,No
183,pretty,gen,FALSE,NA,1448.12859992915,8.00071049684612,
182,people,hurdle,TRUE,-1,3555.86665496436,9.90492104446898,No
181,people,gen,TRUE,NA,3161.38979279053,8.80609970136638,
180,over,gen,TRUE,NA,3580.75567898032,8.25058912207446,
179,out,hurdle,TRUE,-2,8425.23775889331,8.51894616672731,Yes
178,out,gen,TRUE,NA,8499.7643585414,8.59430167698827,
177,our,hurdle,TRUE,-2,2150.51269530397,8.02430110188047,Yes
176,our,gen,TRUE,NA,2216.70031929606,8.27126984811964,
175,other,hurdle,TRUE,-2,3085.70425135617,8.36234214459668,Yes
174,other,gen,TRUE,NA,3136.9601341568,8.50124697603469,
173,or,hurdle,TRUE,0,8193.92062294172,7.225679562,No
172,or,gen,TRUE,NA,8771.54564748513,7.73504907185638,
171,only,gen,FALSE,NA,1821.65048954277,8.24276239612114,
170,one,hurdle,TRUE,-1,12657.327233938,10.7083986750744,No
169,one,gen,TRUE,NA,10170.6651718771,8.60462366487062,
168,on,gen,TRUE,NA,13224.3088201578,8.48800309381116,
167,okay,gen,FALSE,NA,2440.80682356338,2.23517108384925,
166,oh,gen,FALSE,NA,5860.53932505289,3.45754532451498,
165,off,gen,TRUE,NA,2038.3073694229,8.18597337117629,
164,of,hurdle,TRUE,-2,28171.2705545723,8.60191467315185,Yes
163,of,gen,TRUE,NA,28465.6031508418,8.69178722163108,
162,now,hurdle,TRUE,0,5150.30956829046,7.77992381916989,No
161,now,gen,TRUE,NA,5470.45121070227,8.26352146631763,
160,not,gen,FALSE,NA,8925.53306838668,8.17356508094019,
159,no,gen,FALSE,NA,5816.12833059411,4.98382890367962,
158,new,hurdle,TRUE,-2,1780.584891,7.77547987454587,Yes
157,new,gen,TRUE,NA,1823.78801098729,7.9641397859707,
156,never,gen,FALSE,NA,1886.15914167086,7.69860874151372,
155,need,hurdle,FALSE,1,1627.2247080158,7.9765917059598,No
